Start,End,sacdur,delay,PeakVel,sacLen,Ampl,subject_id,trial,nth,fixation_duration,sticky,blinkSac,blinkFix,first_t,forced_fix,mask_shown,forced_end,VT,image_name,x,y
,,,,,,,1,5,1,279.0,0,False,False,16694181,1,0,175,val,1088.jpg,951.6507674895439,577.9426450411331
280.0,304.0,24.0,3.0,240.433189763935,3.55418374792861,3.56246675846819,1,5,2,170.0,0,False,False,16694181,0,0,175,val,1088.jpg,861.1549485902549,323.58105975146583
474.0,489.0,15.0,13.0,261.264672569546,2.37951252474158,2.3805280329392,1,5,3,182.0,0,False,False,16694181,0,0,175,val,1088.jpg,762.6607702087327,475.0033847979353
671.0,682.0,11.0,1.0,205.315473356823,1.56400030328016,1.56400030328016,1,5,4,334.0,0,False,False,16694181,0,0,175,val,1088.jpg,660.0789254040037,449.9105581410787
1016.0,1029.0,13.0,2.0,199.339586769882,1.68953391934213,1.68953391934213,1,5,5,220.0,0,False,False,16694181,0,0,175,val,1088.jpg,568.9775873240657,392.0106457481913
1249.0,1263.0,14.0,8.0,221.059401926018,2.11069244632186,2.12063674611037,1,5,6,266.0,0,False,False,16694181,0,0,175,val,1088.jpg,451.1486729476232,470.8763102099368
1529.0,1571.0,42.0,7.0,468.44855185795,11.588786453948,11.6082633821791,1,5,7,384.0,0,False,False,16694181,0,0,175,val,1088.jpg,1146.2317979550858,557.4954085633352
1955.0,1962.0,7.0,7.0,91.604597899992,0.429094014601506,0.455667325678403,1,5,8,327.0,0,False,False,16694181,0,0,175,val,1088.jpg,1109.4999891000216,536.6095763097662
2289.0,2322.0,33.0,2.0,385.35797585027,7.68896237710768,7.69443713868857,1,5,9,208.0,0,False,False,16694181,0,0,175,val,1088.jpg,661.2687327259254,382.5416512280265
2530.0,2541.0,11.0,1.0,170.776001098822,1.3473982026284,1.35033188341344,1,5,10,409.0,0,False,False,16694181,0,0,175,val,1088.jpg,575.4315777909848,364.4424538877951
2950.0,2992.0,42.0,2.0,528.941591136717,13.4602954076306,13.4608108564607,1,5,11,146.0,0,False,False,16694181,0,0,175,val,1088.jpg,1349.5569651274984,91.22540237060967
3138.0,3158.0,20.0,12.0,317.265220037395,3.89773702984508,3.90465722699072,1,5,12,250.0,0,False,False,16694181,0,0,175,val,1088.jpg,1559.546053951643,288.19054650971003
3408.0,3437.0,29.0,2.0,362.327515986456,5.80863965550435,5.81162831649123,1,5,13,216.0,0,False,False,16694181,0,0,175,val,1088.jpg,1845.7662755694728,531.082344532937
3653.0,3669.0,16.0,1.0,265.619336852503,2.58390407260061,2.58681333491489,1,5,14,129.0,0,False,False,16694181,0,0,175,val,1088.jpg,1664.915564767624,601.8363111027588
3798.0,3832.0,34.0,1.0,374.152041322814,6.76393707846596,6.7664333183956,1,5,15,144.0,0,False,False,16694181,0,0,175,val,1088.jpg,1244.2130167377572,513.7226518471181
3976.0,3990.0,14.0,3.0,173.750846538588,1.60647387415404,1.61185968002592,1,5,16,351.0,0,False,False,16694181,0,0,175,val,1088.jpg,1123.3013973148497,546.213798655613
4341.0,4347.0,6.0,3.0,118.529522998251,0.504190323463302,0.515393247323106,1,5,17,180.0,0,False,False,16694181,0,0,175,val,1088.jpg,1113.7126038084707,596.7212433752661
4527.0,4571.0,44.0,3.0,345.161683480083,8.95584115884571,9.03512742960268,1,5,18,149.0,0,False,False,16694181,0,0,175,val,1088.jpg,582.1587053175836,492.9929326992414
4720.0,4739.0,19.0,9.0,351.49646133572,3.99513039180699,3.99886910922696,1,5,19,134.0,0,False,False,16694181,0,0,175,val,1088.jpg,368.4537600761731,380.3695216335595
4873.0,4893.0,20.0,5.0,463.48680485563,5.60614483741046,5.61900282563073,1,5,20,265.0,0,False,False,16694181,0,0,175,val,1088.jpg,142.9931016560832,99.89333197370767
5158.0,5181.0,23.0,12.0,275.224348829507,3.74202804069584,3.7523448078389,1,5,21,156.0,0,False,False,16694181,0,0,175,val,1088.jpg,372.34431678073076,82.89108011299786
5337.0,5370.0,33.0,8.0,512.326376689608,9.42197664200539,9.45279640628688,1,5,22,161.0,0,False,False,16694181,0,0,175,val,1088.jpg,974.0009577865771,86.05809784999778
5531.0,5570.0,39.0,2.0,422.300345051517,6.68519908181766,7.48313006634387,1,5,23,244.0,1,False,False,16694181,0,0,175,val,1088.jpg,1407.2860637258127,164.9682868063085
5814.0,5829.0,15.0,2.0,298.638055639591,3.36308102781303,3.36504808073459,1,5,24,315.0,0,False,False,16694181,0,0,175,val,1088.jpg,1556.3889762185727,329.1190192834449
6144.0,6162.0,18.0,5.0,267.517470586911,3.45651108076418,3.45651108076418,1,5,25,187.0,0,False,False,16694181,0,0,175,val,1088.jpg,1441.1050184059088,522.0948125788359
6349.0,6360.0,11.0,8.0,126.260816097078,1.13116011417049,1.13116011417049,1,5,26,334.0,0,False,False,16694181,0,0,175,val,1088.jpg,1427.0866013753339,583.0278089038407
6694.0,6744.0,50.0,2.0,446.632700404048,14.9653950624791,14.9769985731211,1,5,27,253.0,0,False,False,16694181,0,0,175,val,1088.jpg,531.3127842553747,466.74951396503667
6997.0,7011.0,14.0,4.0,281.211694049328,2.57208250722688,2.57290106030323,1,5,28,214.0,0,False,False,16694181,0,0,175,val,1088.jpg,378.55002826797374,541.188117580193
7225.0,7266.0,41.0,6.0,390.026797208337,9.05033145622394,9.06606579088489,1,5,29,277.0,0,False,False,16694181,0,0,175,val,1088.jpg,940.6837561100455,566.9358706124007
7543.0,7572.0,29.0,6.0,278.697037722553,3.69603390263624,3.71573189610157,1,5,30,123.0,1,False,False,16694181,0,0,175,val,1088.jpg,1161.2466369488957,641.042314903078
7695.0,7731.0,36.0,2.0,412.661183180846,8.99598585590553,9.0143967568612,1,5,31,355.0,0,False,False,16694181,0,0,175,val,1088.jpg,1717.8509758067005,661.8894943023673
8086.0,8103.0,17.0,0.0,318.014372699279,3.27185753800794,3.28052625589662,1,5,32,80.0,0,False,False,16694181,0,0,175,val,1088.jpg,1513.7288611160543,635.6711929945928
,,,,,,,1,10,1,271.0,0,False,False,16769467,1,0,176,val,0438.jpg,957.2613987491275,564.1426534476334
272.0,294.0,22.0,10.0,296.204274918533,3.50477799166229,3.50664939240021,1,10,2,184.0,0,False,False,16769467,0,0,176,val,0438.jpg,913.0126832125759,793.4825635700146
